nazwa,kategoria nadrzedna,aktywny,opis
preparaty przeciwbólowe,Bez recepty,1,"Oferujemy szeroki wybór leków przeciwbólowych dostępnych bez recepty, które skutecznie zwalczają dolegliwości bólowe o różnej etiologii. Preparaty w formie kapsułek, tabletek musujących, plastrów, sprayów, żeli oraz czopków szybko i efektywnie zwalczają bóle głowy, kręgosłupa, gardła, zębów czy bóle menstruacyjne. Posiadamy również leki łagodzące ból dla dzieci."
alergia i katar sienny,Bez recepty,1,"Swędzące i łzawiące oczy? Stale cieknący z nosa wodnisty katar? Objawy alergii nie muszą utrudniać codziennego funkcjonowania. Proponujemy szeroką gamę preparatów i leków na alergię, które są stosowane w leczeniu oraz profilaktyce reakcji alergicznych. Asortyment obejmuje krople, aerozole, tabletki, musujące wapno oraz syropy, które wspomagają organizm w alergiach."
witaminy i mikroelementy,Bez recepty,1,"O suplementacji witamin i mikroelementów warto pomyśleć w stanach obniżonej odporności, a także w przypadku, gdy istnieje ryzyko ich niedoboru. Znajdujące się w tej kategorii preparaty stanowią unikalne pod względem składników kompozycje, które w szczególności można polecić osobom, które chcą wzmocnić swój organizm, a także uzupełnić codzienną dietę w cenne związki i minerały."
dla diabetyków,Bez recepty,1,"Cukrzyca jest schorzeniem, które dotyka osoby w różnym wieku. Objawy charakterystyczne dla tej choroby można jednak skutecznie łagodzić przy pomocy dostępnych preparatów bez recepty. Są to różnego rodzaju suplementy witaminowe, odżywki, słodziki oraz środki, które regulują poziom cukru we krwi. Zawarte w nich związki sprzyjają utrzymaniu zrównoważonego metabolizmu węglowodanów."
dobre samopoczucie,Bez recepty,1,"Preparaty poprawiające samopoczucie dostępne bez recepty cieszą się coraz większym zainteresowaniem. Przy ich pomocy można nie tylko uzupełnić codzienną dietę w cenne witaminy i minerały, ale także zmniejszyć napięcie psychiczne, wyeliminować znużenie, odżywić komórki nerwowe czy nawet opóźnić procesy starzenia. Niektóre z nich są zalecane w stanach zmęczenia psychicznego i fizycznego.
"
akcesoria dla dzieci i niemowląt,Dla dzieci i niemowląt,1,"Oferujemy szeroki wybór wysokiej jakości akcesoriów dla dzieci i niemowląt, wśród których można znaleźć między innymi smoczki uspokajające, gryzaki, maty ochronne, przewijaki, artykuły do butelek oraz zabawki. Wszystkie dostępne produkty zapewniają maluchom maksymalną wygodę i wspierają naturalny rozwój, stanowiąc również doskonałą pomoc dla rodziców w opiece nad dzieckiem."
witaminy i minerały,Zdrowie dzieci,1,
drogi moczowo-płciowe,Bez recepty,1,"Układ moczowo-płciowy każdego dnia narażony jest na różnego typu zakażenia i infekcje. By im zapobiegać, warto stosować odpowiednie preparaty odbudowujące jego naturalną barierę ochronną. W tej kategorii poza produktami do celów profilaktycznych, oferujemy także środki zwalczające kamicę, infekcje dróg moczowych oraz przeciwdziałające nietrzymaniu moczu."
pamięć i koncentracja,Bez recepty,1,"Pośpiech, stres, siedzący tryb życia, a także niewłaściwa dieta mogą powodować kłopoty z pamięcią i koncentracją. Dostępne w tej kategorii suplementy diety wspomagają prawidłową pracę układu nerwowego, poprawiają ukrwienie mózgu, a także ułatwiają zapamiętywanie i zdolność koncentracji. Mogą być stosowane w szczególności przy wzmożonym wysiłku umysłowym."
odporność,Zdrowie dzieci,1,
układ pokarmowy,Zdrowie dzieci,1,"Każdy rodzic zaniepokoi się, gdy jego dziecko zacznie uskarżać się na ból brzucha. Wystąpienie dolegliwości może mieć różne przyczyny, dlatego przed ewentualną wizytą u lekarza warto zastanowić się, co mogło spowodować ból. Konieczna jest również obserwacja dziecka i dowiedzenie się, czy maluch uskarża się na coś jeszcze. "
katar,Zdrowie dzieci,1,"Walka z katarem u noworodka i małego dziecka jest bardzo trudna i przysparza rodzicom wiele niepokoju. Podawanie kropli do nosa niemowlakowi jest często niewskazane bądź ograniczone., dlatego trzeba sobie radzić inaczej, ale równie skutecznie. Kiedy drobne naczynka śluzówki nosa przepuszczają na zewnątrz wysięk nazywany katarem, dziecko zaczyna kichać i pokasływać. Zazwyczaj jest to krótko trwający, niegroźny, katar wirusowy, będący jasną, wodnistą wydzieliną, która powoli gęstnieje. Gorzej, jeśli pojawi się u malucha katar bakteryjny, czyli biało-zielonkawa wydzielina ropna, która może zaatakować również zatoki, krtań czy oskrzela. Należy bardzo uważać, gdyż u małego dziecka jest jeszcze słabo wykształcony układ odpornościowy i krótsze drogi oddechowe."
kaszel,Zdrowie dzieci,1,"Kompozycje specjalnie dobranych składników sprawiają, że syropy na kaszel mokry i suchy u dzieci stanowią bezpieczny i skuteczny sposób łagodzenia dolegliwości związanych z objawami zakażenia w obrębie górnych dróg oddechowych. Syropy na kaszel suchy pomagają zmniejszyć częstość i intensywność kaszlu, natomiast syropy na kaszel mokry ułatwiają odkrztuszanie zalegającej wydzieliny."
ból i gorączka,Zdrowie dzieci,1,"Gorączka u dziecka powoduje zazwyczaj dość silny niepokój; jeszcze gorzej, jeśli jest to gorączka u niemowlaka. Okazuje się jednak, że podwyższona temperatura nie zawsze musi oznaczać groźną chorobę. Gorączka może być także objawem np. rumienia nagłego, tzw. trzydniówki, która ustępuje samoistnie. Jak poradzić sobie z gorączką u malucha? Co warto mu podać i kiedy koniecznie należy udać się do lekarza?"
ból gardła,Zdrowie dzieci,1,"Leki wpływające na utrzymanie naturalnej odporności organizmu u dzieci i odkażające jamę ustną są zalecane w miejscowym leczeniu stanów zapalnych gardła, zapalenia krtani oraz migdałków podniebiennych. Poza szeroką gamą preparatów w formie syropów, tabletek i pastylek do ssania, proponujemy również produkty w formie lizaków, które minimalizują ryzyko zakrztuszenia i stanowią wyjątkowo smaczny sposób na walkę z bólem gardła. W tej kategorii można również znaleźć suplementy diety z dodatkiem soku z malin, wyciągu z prawoślazu, ekstraktu z tymianku oraz witaminy C, które wspomagają naturalne mechanizmy obronne organizmu, a także wspierają prawidłową pracę górnych dróg oddechowych."
higiena uszu,Zdrowie dzieci,1,
poprawa koncentracji,Zdrowie dzieci,1,
drogi moczowe,Zdrowie dzieci,1,"Zapalenie pęcherza u dzieci to bez wątpienia jedna z sytuacji, gdy trzeba reagować szybko. Objawy są dość charakterystyczne, dzięki czemu infekcja jest stosunkowo łatwa do rozpoznania. To z kolei pozwala na szybsze działanie. To, co powinno zaniepokoić rodzica, to zgłaszanie przez dziecka trudności z oddawaniem moczu, a także ból, na który się uskarża. Ważne, by jak najszybciej rozpocząć leczenie. Jak się upewnić, że chodzi o zapalenie pęcherza u dzieci i co wtedy robić?"
urazy,Zdrowie dzieci,1,
choroba lokomocyjna,Zdrowie dzieci,1,
alergia,Zdrowie dzieci,1,
odbarwienia skóry,Dermokosmetyki do ciała,1,"Odbarwienia oraz przebarwienia naskórka to dość powszechny problem związany z zaburzeniami koloru skóry. Na ogół są to niewielkie plamy, będące wynikiem tak zwanej hipopigmentacji. Do ich eliminacji polecane są starannie opracowane preparaty, zawierające w składzie substancje o działaniu rozjaśniającym i wygładzającym. Preparaty te są wskazane również do stosowania w bielactwie."
po chemio- i radioterapii,Dermokosmetyki do ciała,1,"Zarówno chemio-, jak i radioterapia powodują, że skóra staje się nadwrażliwa, a także podatna na podrażnienia i uszkodzenia. By przywrócić naskórkowi optymalny poziom nawilżenia oraz wspomóc procesy regeneracyjne, warto sięgnąć po specjalistyczne preparaty pielęgnacyjne. Dostępne oliwki, kremy i balsamy opracowano w ten sposób, by skutecznie poprawiać stan naświetlanych komórek skóry."
dla diabetyków,Dermokosmetyki do ciała,1,"Cukrzyca to choroba ogólnoustrojowa, która bardzo często wiąże się z przesuszoną skórą,  podatną na różnego rodzaju zakażenia grzybicze. Diabetycy do pielęgnacji ciała powinni wybierać preparaty o działaniu nawilżającym i kojącym, pozostawiające na powierzchni skóry barierę ochronną. Dostępne żele, balsamy i kremy zapobiegają utracie wody, a także skutecznie regenerują osłabiony naskórek."
skóra atopowa,Dermokosmetyki do ciała,1,"Skóra atopowa charakteryzuje się dużą suchością, szorstkością oraz zaczerwienieniem. Jej pielęgnowanie nie jest łatwe, ale odpowiednie preparaty mogą złagodzić nieprzyjemne objawy. Proponujemy szeroki wybór dermokosmetyków przeznaczonych dla osób ze skórą atopową, które wykazują działanie zmiękczające, nawilżające, regenerujące, kojące oraz delikatnie natłuszczające."
układ krążenia,Bez recepty,1,"Preparaty usprawniające pracę serca oraz wzmacniające układ krążenia są polecane w profilaktyce chorób sercowo-naczyniowych, takich jak zawały, miażdżyca czy zakrzepy żylne. Ich celem jest przede wszystkim normalizacja poziomu cholesterolu oraz redukcja podwyższonego ciśnienia tętniczego krwi. Dostępne preparaty hamują ponadto zdolność płytek do agregacji i zmniejszają ryzyko zakrzepów."
depilacja,Dermokosmetyki do ciała,1,"By skutecznie i bezboleśnie wyeliminować zbędne owłosienie, warto sięgnąć po dostępne w tej kategorii dermokosmetyki do depilacji. Proponujemy szeroki wybór kremów, żeli, balsamów, a także plastrów zapewniających szybką depilację nawet najbardziej wrażliwych części ciała. Oferujemy również preparaty zapobiegające wrastaniu włosków i spowalniające ich wzrost."
po opalaniu,Dermokosmetyki do ciała,1,"W trakcie opalania naskórek wystawiony jest na intensywne działanie promieni słonecznych, które mogą powodować zaczerwienienia oraz podrażnienia. Dostępne w tej kategorii dermokosmetyki to preparaty chłodzące, regenerujące i nawilżające, które dają przyjemne uczucie ukojenia, utrwalają naturalną opaleniznę, a także zapobiegają przedwczesnemu starzeniu się skóry."
preparaty brązujące,Dermokosmetyki do ciała,1,"Kosmetyki brązujące do ciała stanowią doskonałą alternatywę dla osób, które nie przepadają za nadmiernym eksponowaniem skóry na działanie promieni słonecznych. Umożliwiają uzyskanie naturalnej i pięknej opalenizny bez słońca i samoopalaczy. Dostępne balsamy oraz fluidy brązujące nadają stopniowy efekt brązowawej skóry, dogłębnie odżywiając oraz nawilżając naskórek."
preparaty koloryzujące do włosów,Dermokosmetyki do ciała,1,"Farby, szampony rozjaśniające oraz ziołowe kremy koloryzujące do włosów zapewniają jednolity kolor pasm od nasady, aż po same końce, który pozostaje trwały również między następnymi zabiegami farbowania. Dostępne produkty cechują się delikatnymi formułami i nie zawierają amoniaku, dzięki czemu są bezpieczne dla włosów, zapewniając im naturalny wygląd i wielowymiarowy połysk."
szampony ,Dermokosmetyki do ciała,1,"Poza preparatami do pielęgnacji ciała, dłoni i stóp, oferujemy także szeroki wybór szamponów do codziennej pielęgnacji skóry głowy. Proponujemy skuteczne szampony, które dzięki starannie wyselekcjonowanym związkom wykazują działanie nawilżające, łagodzące, regenerujące, a także przeciwłupieżowe. W asortymencie znajdują się również preparaty przeciw wypadaniu włosów."
aktywatory opalania,Dermokosmetyki do ciała,1,"Preparaty przyspieszające opalanie to doskonała propozycja dla wszystkich tych osób, które marzą o delikatnym pogłębieniu brązowego kolorytu skóry. Dostępne emulsje, spraye oraz balsamy nie tylko pomagają osiągnąć zdrową i piękną opaleniznę, ale dodatkowo przywracają naskórkowi optymalny poziom nawilżenia. Aktywatory opalania mogą być stosowane również przez osoby korzystające z solarium."
samoopalacze,Dermokosmetyki do ciała,1,"By cieszyć się jedwabiście gładką i pięknie opaloną skórą bez eksponowania ciała na promieniowanie słoneczne, można sięgnąć po odpowiednie preparaty samoopalające. Formuły znajdujących się w tej kategorii dermokosmetyków zostały opracowane w ten sposób, by zapewnić jednolitą i trwałą opaleniznę już od pierwszego zastosowania, zapewniając skórze równomierny koloryt oraz zdrowy blask."
stylizacja włosów,Dermokosmetyki do ciała,1,"Kosmetyki do stylizacji włosów pozwalają nie tylko na wygładzenie kosmyków, ale także na utrwalenie fryzury przez cały dzień. Supermocne lakiery, pianki dodające objętości oraz wygładzające spraye zapewniają włosom ochronę przed działaniem wysokiej temperatury, zapobiegając utracie wilgotności i gwarantując nieskazitelną gładkość. Nie sklejają włosów i nadają im sprężystości."
pielęgnacja dłoni,Dermokosmetyki do ciała,1,"Codzienna pielęgnacja dłoni zapobiega procesom starzenia, a także pomaga utrzymać prawidłowy poziom nawilżenia skóry rąk. Składniki aktywne zawarte w kremach, żelach i maskach skutecznie regenerują i wygładzają dłonie narażone na działanie niekorzystnych czynników zewnętrznych. Dzięki starannie opracowanym formułom, pozwalają zachować zdrowy, gładki i aksamitny naskórek."
dezodoranty i antyperspiranty,Dermokosmetyki do ciała,1,"Dezodoranty oraz antyperspiranty w kremie, sprayu oraz w postaci chusteczek są przeznaczone do stosowania na skórę pach, dłoni i stóp. Każdy z dostępnych kosmetyków zapewnia optymalną skuteczność wyhamowania się procesu nadmiernej potliwości, zapobiegając jednocześnie rozwojowi drobnoustrojów, stanowiących główną przyczynę wydzielającej się nieprzyjemnej woni."
pielęgnacja stóp,Dermokosmetyki do ciała,1,"O pielęgnacji wyjątkowo delikatnej i wrażliwej skóry stóp warto pamiętać nie tylko latem. Systematyczne stosowanie kremów zmiękczających naskórek, żeli nawilżających oraz preparatów chroniących przed grzybicą, pozwoli nam cieszyć się zadbanymi stopami o każdej porze roku. Dostępne preparaty pomagają utrzymać świeże i suche stopy, wykazując przy tym działanie antyseptyczne."
pielęgnacja twarzy,Pielęgnacja dzieci,1,
pielęgnacja ciała,Dermokosmetyki do ciała,1,"Dermokosmetyki to preparaty tworzone przy udziale dermatologów oraz farmaceutów. W ten sposób opracowywane są unikalne kompozycje balsamów, kremów, emulsji, żeli oraz wielu innych produktów przeznaczonych do kompleksowej pielęgnacji ciała. Dermokosmetyki, zwane również kosmetykami aptecznymi, są w szczególności polecane do pielęgnowania skóry wrażliwej i skłonnej do podrażnień."
pielęgnacja włosów,Pielęgnacja dzieci,1,
pielęgnacja słoneczna,Pielęgnacja dzieci,1,
ochrona przeciwsłoneczna,Dermokosmetyki do ciała,1,"Odpowiednia ochrona przed intensywnym promieniowaniem słonecznym zmniejsza ryzyko wystąpienia oparzeń oraz długoterminowych uszkodzeń na poziomie skóry właściwej. Emulsje, kremy, mleczka oraz balsamy do opalania z filtrami zapewniają bardzo wysoką ochronę przed niekorzystnym wpływem promieniowania UV, idealnie nawilżając skórę i przeciwdziałając podrażnieniom."
pielęgnacja włosów,Dermokosmetyki do ciała,1,"Odżywki wzmacniające z wodą brzozową, maski intensywnie regenerujące, spraye o działaniu nawilżającym, a także nafty kosmetyczne – to przykładowe kosmetyki, które można znaleźć w tej kategorii. Dostępne produkty są przeznaczone zarówno do włosów zdrowych, jak i osłabionych farbowaniem, rozjaśnianiem, trwałą i wieloma innymi zabiegami fryzjerskimi."
ciemieniucha,Pielęgnacja dzieci,1,"Ciemieniucha nie jest groźna, choć jej objawy mogą szybko zaniepokoić rodziców dziecka. Ciemieniucha pojawia się u noworodków, jednak nie jest wynikiem zaniedbań czy niewłaściwej higieny. Charakterystycznym objawem są żółte, grube łuski, które na pierwszy rzut oka mogą przypominać łupież. Jak sobie radzić z tą dolegliwością? Co warto stosować i kiedy konieczna jest wizyta u lekarza?"
odparzenia,Pielęgnacja dzieci,1,
kąpiel i mycie ciała,Pielęgnacja dzieci,1,"Świeżo upieczeni rodzice zazwyczaj boją się pierwszej kąpieli swojego maluszka. Jest to naturalna reakcja, ponieważ w rękach mają małą, kruchą istotę. Kąpiel noworodka nie musi być jednak trudna i obarczona tak dużym strachem. Wystarczy wiedzieć, jak się do tego zabrać, co przygotować i jakich kosmetyków najlepiej używać. "
higiena jamy ustnej,Higiena dzieci,1,
kompresy ciepło/zimno,Higiena dzieci,1,
atopowe zapalenie skóry,Pielęgnacja dzieci,1,"Kosmetyki dla dzieci i niemowląt z atopowym zapaleniem skóry to wysokiej jakości emolienty, które delikatnie myją, łagodzą podrażnienia, a także ograniczają uczucie świądu. Dostępne szampony, mleczka, balsamy, olejki oraz emulsje do kąpieli długotrwale odbudowują strukturę naskórka, dostarczając mu niezbędnych składników odżywczych i redukując nieprzyjemne uczucie suchości."
plastry dla dzieci,Higiena dzieci,1,
artykuły higieniczne,Higiena dzieci,1,
artykuły kosmetyczne,Higiena dzieci,1,
hipoalergiczne produkty do prania dla dzieci,Higiena dzieci,1,"Hipoalergiczne proszki, koncentraty, balsamy i płatki mydlane przeznaczone do prania pieluszek i ubranek dziecięcych stanowią unikalne formuły, opracowane z myślą o wrażliwej skórze dzieci i niemowląt. Doskonale nadają się do prania odieży białej oraz kolorowej. Każdy z oferowanych środków zachowuje wysokie właściwości piorące zarówno w praniu ręcznym, jak i podczas prania w pralkach automatycznych. "
pielęgnacja ciała,Pielęgnacja dzieci,1,
chusteczki,Higiena dzieci,1,
wykrywające narkotyki,Testy diagnostyczne,1,"Testy diagnostyczne na obecność narkotyków są przeznaczone do wykrywania w moczu takich substancji, jak amfetamina, kokaina, morfina, marihuana, haszysz oraz heroina. Można je stosować wówczas, gdy nie do końca wiadomo, jaki narkotyk został użyty. Dostępne testy są szybkie i proste w wykonaniu – są w stanie wykryć toksyczną substancję nawet po 2-3 dniach od momentu zażycia."
majtki na noc,Higiena dzieci,1,
wykrywające choroby,Testy diagnostyczne,1,"Testy diagnostyczne domowego użytku umożliwiają wczesne wykrywanie objawów, mogących świadczyć o rozwoju groźnych chorób. Ich przeprowadzanie jest szybkie i proste, a odbywa się na podstawie pobranej próbki moczu lub kropli krwi. Wszystkie dostępne testy diagnostyczne odznaczają się wysoką skutecznością, a przy tym są nieinwazyjne i nie wymagają wizyt w specjalistycznych laboratoriach."
wykrywające menopauzę,Testy diagnostyczne,1,"Testy diagnostyczne dostępne w tej kategorii są przeznaczone do szybkiego wykrywania w moczu hormonu FSH, którego wysokie stężenie może wskazywać na menopauzę. Okres ten nie jest chorobą, a naturalnym stanem fizjologicznym, związanym ze stopniowym wygasaniem funkcji hormonalnej jajników. Proponowane testy są proste w użyciu i dają wiarygodny wynik już po kilku minutach."
majtki treningowe,Higiena dzieci,1,"Dostępne w tej kategorii niezwykle chłonne pieluchomajtki są przeznaczone nie tylko dla dzieci z inkontynencją, ale również dla maluchów, które są na etapie nauki kontrolowania oddawania moczu. Anatomiczne wkłady zapewniają wygodę i dobre samopoczucie, a starannie dobrane materiały nie powodują odparzeń. Atutem produktów jest także ciekawe, kolorowe wzornictwo."
testy płodności,Testy diagnostyczne,1,
owulacyjne,Testy diagnostyczne,1,"Testy owulacyjne, nazywane również testami płodności, umożliwiają precyzyjne określenie momentu owulacji. Zostały one stworzone głównie z myślą o parach, które starają się o potomstwo. Dostępne w naszej aptece diagnostyczne testy owulacyjne pozwalają określić płodność kobiety poprzez wykrycie wzrostu stężenia hormonu luteinizującego (LH) w pobranej próbce moczu."
akcesoria,Dla sportowców,1,"Sportowcom oraz osobom aktywnym fizycznie, korzystającym z odżywek sprzyjających w uzyskaniu maksymalnej formy, proponujemy szeroki wybór praktycznych akcesoriów. Są to głównie produkty, które umożliwiają łatwe i szybkie przyrządzanie odżywczych napojów, w kilka chwil doprowadzając je do pożądanej konsystencji. Dostępne wyroby doskonale sprawdzą się zarówno w domu, jak i w podróży."
pieluszki do pływania,Higiena dzieci,1,"Nowatorskie majteczki do pływania dla dzieci i niemowląt zostały wyposażone w specjalne wkłady chłonące, które nie pęcznieją po zanurzeniu w wodzie. Dzięki wyjątkowym konstrukcjom oraz unikalnym materiałom użytym do ich produkcji, dostępne pieluszki nie ulegają zniszczeniu na skutek kontaktu z wodą, zapewniając maluchom pełen komfort i swobodę w trakcie pływania."
nietolerancja pokarmowa,Testy diagnostyczne,1,"Nietolerancje pokarmowe są tak naprawdę szeroką grupą schorzeń. Ich pojawianie się owocuje wystąpieniem nieprawidłowej odpowiedzi organizmu po spożycie danego produktu. Najczęściej mamy do czynienia z nietolerancjami pokarmowymi zależnymi od przeciwciał IgG, które wedle szacunków stanowią nawet połowę pojawiających się nietolerancji pokarmowych"
ciążowe,Testy diagnostyczne,1,"Apteka Gemini oferuje szereg rozwiązań do wczesnego wykrywania ciąży. W asortymencie mniej lub bardziej zaawansowane testy ciążowe diagnostyczne rozmaitych producentów: DIAGNOSIS, HYDREX, GENEXO, NORD FARM, IND DIAGNOSTICS, RADA, QUIDEL. Testy ciążowe dostępne są w wariancie płytkowym bądź strumieniowym."
reduktory tłuszczu,Dla sportowców,1,"Odżywki znajdujące się w tej kategorii są polecane sportowcom oraz osobom aktywnym fizycznie, które dążą do redukcji tłuszczu zapasowego. Zawarte w preparatach związki skutecznie wspomagają proces termogenezy, ułatwiając tym samym spalanie tkanki tłuszczowej i budowę masy mięśniowej. Odżywki zawierające w składzie guaranę i kofeinę dodatkowo niwelują uczucie zmęczenia."
inne,Dla sportowców,1,"Poza bogatym wyborem preparatów wysokobiałkowych i węglowodanowych, w ofercie naszej apteki dostępne są także odżywki skomponowane na bazie witamin i minerałów, których formuły wzbogacono aminokwasami, kolagenem i innymi substancjami. Są one dedykowane nie tylko profesjonalnym sportowcom, ale także osobom aktywnym fizycznie, dążącym do osiągnięcia doskonałej formy."
"napoje, żele",Dla sportowców,1,"Dostępne w tej kategorii żele oraz napoje izotoniczne to preparty polecane w przypadku intensywnego wysiłku fizycznego, w szczególności w momencie pojawienia się pierwszych oznak zmęczenia. Oferowane produkty w maksymalnym stopniu nawadniają organizm, zapewniając mu równowagę elektrolitową oraz skutecznie gasząc pragnienie. Idealne dla kolarzy, biegaczy, pływaków, a także wielu innych sportowców."
witaminy i minerały,Dla sportowców,1,"Suplementy diety w tabletkach i kapsułkach dostępne w tej kategorii, zawierają w swoim składzie wyselekcjonowane składniki witaminowe i mineralne, tak, by wspomagać prawidłowe funkcjonowanie organizmu każdego sportowca. Proponowane odżywki są w szczególności polecane osobom prowadzącym aktywny styl życia, które odczuwają zmęczenie fizyczne oraz psychiczne."
batony,Dla sportowców,1,"Poza szeroką gamą odżywek węglowodanowych, proteinowych czy z aminokwasami, wszystkim sportowcom i osobom aktywnym fizycznie proponujemy batony, które znakomicie sprawdzą się w roli odżywczych przekąsek. Produkty te pomagają zrezygnować ze słodyczy, dostarczając przy tym energii. Są dostępne w różnych wariantach smakowych."
boostery testosteronu,Dla sportowców,1,"Odżywki w formie boosterów testosteronu są przeznaczone dla sportowców oraz osób aktywnych fizycznie. Dostępne produkty cechują się udowodnionym naukowo działaniem, pozwalając utrzymać odpowiednie stężenie testosteronu i redukując uczucie zmęczenia."
odżywki przedtreningowe,Dla sportowców,1,"Odżywki przedtreningowe stanowią doskonałe uzupełnienie dla wszystkich dyscyplin sportowych, które wymagają wzmożonej wytrzymałości, siły oraz energii. Dostępne produkty ze względu na starannie dobrane różne formy składników odżywczych, są niezwykle skuteczne, przyczyniając się do zwiększenia ogólnej wydolności organizmu i wspierając przyrost beztłuszczowej masy mięśniowej."
odżywki potreningowe,Dla sportowców,1,"Precyzyjnie dobrane kompozycje łatwo przyswajalnych węglowodanów, peptydów oraz wolnych aminokwasów zostały stworzone z myślą o osobach aktywnych fizycznie, które chcą wspomóc prawidłowe funkcjonowanie układu mięśniowo-stawowego, a także zmniejszyć czas powysiłkowej regeneracji. Dostępne odżywki dodatkowo zwiększają wytrzymałość wiązadeł i ścięgien na przeciążenia."
HMB,Dla sportowców,1,"Na rynku farmaceutycznym występuje niemała liczba specyfików stworzonych z myślą o sportowcach. Jednym z takich produktów jest HMB, czyli kwas beta-hydroksy-beta-metylomasłowy. Mowa o krótkołańcuchowym kwasie tłuszczowym, który w organizmie wytwarzany jest z aminokwasu leucyny."
smoothie,Zdrowa żywność,1,
pieluszki,Higiena dzieci,1,"Pieluchy to bez wątpienia jeden z ważniejszych elementów wyprawki dla każdego noworodka. Oferujemy szeroki wybór pieluszek, wśród których można znaleźć zarówno pieluchy jedno-, jak i wielorazowe: tetrowe oraz flanelowe. Są to produkty znanych i renomowanych firm, takich jak Beaming, Pampers, oraz Bella Happy. Wszystkie pieluszki odznaczają się wysokim poziomem chłonności."
kreatyna,Dla sportowców,1,"Odżywki z kreatyną stanowią jeden z najbardziej popularnych rodzajów preparatów stosowanych przez sportowców. Tego typu produkty służą przede wszystkim do budowania beztłuszczowej masy mięśniowej oraz zwiększania ogólnej wydolności fizycznej organizmu. Sportowcom i osobom aktywnym fizycznie proponujemy między innymi odżywki zawierające jabłczan, cytrynian lub monohydrat kreatyny."
odżywki węglowodanowe,Dla sportowców,1,"Odżywki węglowodanowe są przeznaczone dla sportowców oraz osób aktywnych fizycznie, które chcą poprawić zdolności wysiłkowe, zwiększając siłę oraz masę mięśni. Dostępne preparaty uzupełniają dietę w takie składniki, jak tauryna, dekstroza oraz magnez, które zapewniają równowagę wodno-elektrolitową, przyczyniając się do intensyfikacji przemian metabolicznych i szybszej regeneracji po treningu."
filtry wody,Zdrowa żywność,1,
herbaty,Zdrowa żywność,1,
masła,Zdrowa żywność,1,"Masło orzechowe – coraz chętniej przez nas wybierane, bo jego charakterystyczny smak świetnie komponuje się z kanapkami, przekąskami, a nawet w ciastach. Choć masło orzechowe ma dużo kalorii, bo aż 600 kcal na 100 gram, to stosowane w umiarze i wtedy, gdy jest dobrej jakości, może być spożywane nawet podczas diety. "
mleko i napoje roślinne,Zdrowa żywność,1,
aminokwasy,Dla sportowców,1,"Odżywki zawierające w swoim składzie aminokwasy, obok suplementów proteinowych czy węglowodanowych, pozwalają sportowcom na osiągnięcie spektakularnych efektów. Dostępne w tej kategorii preparaty dostarczą organizmowi naturalnej glutaminy, argininy, a także beta-alaniny, zwiększając wytrzymałość, a także skutecznie przyspieszając budowę beztłuszczowej masy mięśniowej."
odżywki węglowodanowo-białkowe,Dla sportowców,1,"Profesjonalne odżywki węglowodanowo-białkowe mają za zadanie potęgować przyrost beztłuszczowej masy mięśniowej, a także skracać czas regeneracji powysiłkowej. Kompleksowe kompozycje odpowiednio zestawionych protein oraz węglowodanów są przeznaczone dla osób o zwiększonym zapotrzebowaniu na energię, dążących do szybkiego rozwoju masy oraz siły mięśni."
słodycze i przekąski,Zdrowa żywność,1,"Ciężki dzień w pracy, na uczelni lub w szkole, poranna kawa, chwila przerwy i chęć dodania sobie energii - każdy z nas ma czasem ochotę na coś słodkiego. Słodycze jednak, zwłaszcza w większej ilości, są po prostu niezdrowe; zawierają mnóstwo cukru. Regularne spożywanie słodyczy dostępnych w sklepach czy cukierniach prowadzi nie tylko do otyłości, ale także do wzrostu ryzyka zachorowania na cukrzycę czy inne choroby przewlekłe. Alternatywą są tzw. zdrowe słodycze, czyli przekąski, które wyprodukowano lub przyrządzono z odpowiednich składników."
miody,Zdrowa żywność,1,"Coraz więcej osób sięga po miody ze względu na ich właściwości lecznicze i wyjątkowy smak. Największą popularnością cieszy się miód rzepakowy, lipowy i wielokwiatowy, chociaż na rynku pojawia się także wiele egzotycznych produktów (np. miody z Nowej Zelandii). Miód może być świetnym dodatkiem zarówno do napojów jak i potraw."
inne,Zdrowa żywność,1,
kawa,Zdrowa żywność,1,"Tradycyjna kawa zawiera w składzie substancje, które mogą silnie podrażniać żołądek oraz jelita. Z myślą o osobach cierpiących na różnego rodzaju problemy gastryczne są tworzone produkty na bazie starannie odwoskowanych ziaren kawy. Takie mieszanki również mają właściwości pobudzające, ale są znacznie łatwiej przyswajalne przez organizm i bardziej delikatne dla układu pokarmowego."
odżywki wysokobiałkowe,Dla sportowców,1,"Zaawansowane kompozycje najwyższej jakości pełnowartościowych białek są dedykowane sportowcom i osobom aktywnym fizycznie, dążącym do szybkiego rozwoju masy oraz siły mięśniowej. Odżywki wysokobiałkowe dzięki wysokiej wartości odżywczej, przyczyniają się do wzrostu beztłuszczowej masy mięśni, zapewniając przy tym prawidłowy przebieg procesów metabolicznych."
soki i syropy,Zdrowa żywność,1,
